"division","state","years","sex","measure","participants"
"Tasmania","Lyons","60-64","male","Eligible participants",3973
"Tasmania","Lyons","60-64","male","Participation rate (%)",85.3
"Northern Territory","Lingiari","60-64","male","Total participants",1574
"Northern Territory","Lingiari","60-64","male","Eligible participants",2456
"Northern Territory","Lingiari","60-64","male","Participation rate (%)",64.1
"Northern Territory","Solomon","60-64","male","Total participants",1772
"Northern Territory","Solomon","60-64","male","Eligible participants",2355
"Northern Territory","Solomon","60-64","male","Participation rate (%)",75.2
"Australian Capital Territory","Canberra","60-64","male","Total participants",4394
"Australian Capital Territory","Canberra","60-64","male","Eligible participants",5057
"Australian Capital Territory","Canberra","60-64","male","Participation rate (%)",86.9
"Australian Capital Territory","Fenner","60-64","male","Total participants",3465
"Australian Capital Territory","Fenner","60-64","male","Eligible participants",3945
"Australian Capital Territory","Fenner","60-64","male","Participation rate (%)",87.8
"New South Wales","Banks","65-69","male","Total participants",2851
"New South Wales","Banks","65-69","male","Eligible participants",3257
"New South Wales","Banks","65-69","male","Participation rate (%)",87.5
"New South Wales","Barton","65-69","male","Total participants",2720
"New South Wales","Barton","65-69","male","Eligible participants",3245
"New South Wales","Barton","65-69","male","Participation rate (%)",83.8
"New South Wales","Bennelong","65-69","male","Total participants",2863
"New South Wales","Bennelong","65-69","male","Eligible participants",3239
"New South Wales","Bennelong","65-69","male","Participation rate (%)",88.4
"New South Wales","Berowra","65-69","male","Total participants",3235
"New South Wales","Berowra","65-69","male","Eligible participants",3569
"New South Wales","Berowra","65-69","male","Participation rate (%)",90.6
"New South Wales","Blaxland","65-69","male","Total participants",2622
"New South Wales","Blaxland","65-69","male","Eligible participants",3119
"New South Wales","Blaxland","65-69","male","Participation rate (%)",84.1
"New South Wales","Bradfield","65-69","male","Total participants",2847
"New South Wales","Bradfield","65-69","male","Eligible participants",3193
"New South Wales","Bradfield","65-69","male","Participation rate (%)",89.2
"New South Wales","Calare","65-69","male","Total participants",3981
"New South Wales","Calare","65-69","male","Eligible participants",4529
"New South Wales","Calare","65-69","male","Participation rate (%)",87.9
"New South Wales","Chifley","65-69","male","Total participants",2655
"New South Wales","Chifley","65-69","male","Eligible participants",3090
"New South Wales","Chifley","65-69","male","Participation rate (%)",85.9
"New South Wales","Cook","65-69","male","Total participants",3021
"New South Wales","Cook","65-69","male","Eligible participants",3402
"New South Wales","Cook","65-69","male","Participation rate (%)",88.8
"New South Wales","Cowper","65-69","male","Total participants",4908
"New South Wales","Cowper","65-69","male","Eligible participants",5568
"New South Wales","Cowper","65-69","male","Participation rate (%)",88.1
"New South Wales","Cunningham","65-69","male","Total participants",3174
"New South Wales","Cunningham","65-69","male","Eligible participants",3558
"New South Wales","Cunningham","65-69","male","Participation rate (%)",89.2
"New South Wales","Dobell","65-69","male","Total participants",3468
"New South Wales","Dobell","65-69","male","Eligible participants",3905
"New South Wales","Dobell","65-69","male","Participation rate (%)",88.8
"New South Wales","Eden-Monaro","65-69","male","Total participants",4113
"New South Wales","Eden-Monaro","65-69","male","Eligible participants",4708
"New South Wales","Eden-Monaro","65-69","male","Participation rate (%)",87.4
"New South Wales","Farrer","65-69","male","Total participants",4152
"New South Wales","Farrer","65-69","male","Eligible participants",4757
"New South Wales","Farrer","65-69","male","Participation rate (%)",87.3
"New South Wales","Fowler","65-69","male","Total participants",2876
"New South Wales","Fowler","65-69","male","Eligible participants",3581
"New South Wales","Fowler","65-69","male","Participation rate (%)",80.3
"New South Wales","Gilmore","65-69","male","Total participants",5395
"New South Wales","Gilmore","65-69","male","Eligible participants",6031
"New South Wales","Gilmore","65-69","male","Participation rate (%)",89.5
"New South Wales","Grayndler","65-69","male","Total participants",2313
"New South Wales","Grayndler","65-69","male","Eligible participants",2680
"New South Wales","Grayndler","65-69","male","Participation rate (%)",86.3
"New South Wales","Greenway","65-69","male","Total participants",2441
"New South Wales","Greenway","65-69","male","Eligible participants",2791
"New South Wales","Greenway","65-69","male","Participation rate (%)",87.5
"New South Wales","Hughes","65-69","male","Total participants",3053
"New South Wales","Hughes","65-69","male","Eligible participants",3351
"New South Wales","Hughes","65-69","male","Participation rate (%)",91.1
"New South Wales","Hume","65-69","male","Total participants",3452
"New South Wales","Hume","65-69","male","Eligible participants",3934
"New South Wales","Hume","65-69","male","Participation rate (%)",87.7
"New South Wales","Hunter","65-69","male","Total participants",3862
"New South Wales","Hunter","65-69","male","Eligible participants",4337
"New South Wales","Hunter","65-69","male","Participation rate (%)",89
"New South Wales","Kingsford Smith","65-69","male","Total participants",2517
"New South Wales","Kingsford Smith","65-69","male","Eligible participants",2957
"New South Wales","Kingsford Smith","65-69","male","Participation rate (%)",85.1
"New South Wales","Lindsay","65-69","male","Total participants",3096
"New South Wales","Lindsay","65-69","male","Eligible participants",3517
"New South Wales","Lindsay","65-69","male","Participation rate (%)",88
"New South Wales","Lyne","65-69","male","Total participants",5427
"New South Wales","Lyne","65-69","male","Eligible participants",6038
"New South Wales","Lyne","65-69","male","Participation rate (%)",89.9
"New South Wales","Macarthur","65-69","male","Total participants",2903
"New South Wales","Macarthur","65-69","male","Eligible participants",3344
"New South Wales","Macarthur","65-69","male","Participation rate (%)",86.8
"New South Wales","Mackellar","65-69","male","Total participants",3276
"New South Wales","Mackellar","65-69","male","Eligible participants",3665
"New South Wales","Mackellar","65-69","male","Participation rate (%)",89.4
"New South Wales","Macquarie","65-69","male","Total participants",3587
"New South Wales","Macquarie","65-69","male","Eligible participants",3990
"New South Wales","Macquarie","65-69","male","Participation rate (%)",89.9
"New South Wales","McMahon","65-69","male","Total participants",2896
"New South Wales","McMahon","65-69","male","Eligible participants",3392
"New South Wales","McMahon","65-69","male","Participation rate (%)",85.4
"New South Wales","Mitchell","65-69","male","Total participants",2901
"New South Wales","Mitchell","65-69","male","Eligible participants",3244
"New South Wales","Mitchell","65-69","male","Participation rate (%)",89.4
"New South Wales","Newcastle","65-69","male","Total participants",3062
"New South Wales","Newcastle","65-69","male","Eligible participants",3417
"New South Wales","Newcastle","65-69","male","Participation rate (%)",89.6
"New South Wales","New England","65-69","male","Total participants",3984
"New South Wales","New England","65-69","male","Eligible participants",4511
"New South Wales","New England","65-69","male","Participation rate (%)",88.3
"New South Wales","North Sydney","65-69","male","Total participants",2872
"New South Wales","North Sydney","65-69","male","Eligible participants",3230
"New South Wales","North Sydney","65-69","male","Participation rate (%)",88.9
"New South Wales","Page","65-69","male","Total participants",4888
"New South Wales","Page","65-69","male","Eligible participants",5605
"New South Wales","Page","65-69","male","Participation rate (%)",87.2
"New South Wales","Parkes","65-69","male","Total participants",3493
"New South Wales","Parkes","65-69","male","Eligible participants",4123
"New South Wales","Parkes","65-69","male","Participation rate (%)",84.7
"New South Wales","Parramatta","65-69","male","Total participants",2295
"New South Wales","Parramatta","65-69","male","Eligible participants",2747
"New South Wales","Parramatta","65-69","male","Participation rate (%)",83.5
"New South Wales","Paterson","65-69","male","Total participants",3908
"New South Wales","Paterson","65-69","male","Eligible participants",4387
"New South Wales","Paterson","65-69","male","Participation rate (%)",89.1
"New South Wales","Reid","65-69","male","Total participants",2631
"New South Wales","Reid","65-69","male","Eligible participants",3045
"New South Wales","Reid","65-69","male","Participation rate (%)",86.4
"New South Wales","Richmond","65-69","male","Total participants",4558
"New South Wales","Richmond","65-69","male","Eligible participants",5232
"New South Wales","Richmond","65-69","male","Participation rate (%)",87.1
"New South Wales","Riverina","65-69","male","Total participants",3895
"New South Wales","Riverina","65-69","male","Eligible participants",4484
"New South Wales","Riverina","65-69","male","Participation rate (%)",86.9
"New South Wales","Robertson","65-69","male","Total participants",3561
"New South Wales","Robertson","65-69","male","Eligible participants",4044
"New South Wales","Robertson","65-69","male","Participation rate (%)",88.1
"New South Wales","Shortland","65-69","male","Total participants",3662
"New South Wales","Shortland","65-69","male","Eligible participants",4045
"New South Wales","Shortland","65-69","male","Participation rate (%)",90.5
"New South Wales","Sydney","65-69","male","Total participants",2235
"New South Wales","Sydney","65-69","male","Eligible participants",2635
"New South Wales","Sydney","65-69","male","Participation rate (%)",84.8
"New South Wales","Warringah","65-69","male","Total participants",2674
"New South Wales","Warringah","65-69","male","Eligible participants",2998
"New South Wales","Warringah","65-69","male","Participation rate (%)",89.2
"New South Wales","Watson","65-69","male","Total participants",2525
"New South Wales","Watson","65-69","male","Eligible participants",3084
"New South Wales","Watson","65-69","male","Participation rate (%)",81.9
"New South Wales","Wentworth","65-69","male","Total participants",2610
"New South Wales","Wentworth","65-69","male","Eligible participants",2993
"New South Wales","Wentworth","65-69","male","Participation rate (%)",87.2
"New South Wales","Werriwa","65-69","male","Total participants",2514
"New South Wales","Werriwa","65-69","male","Eligible participants",3008
"New South Wales","Werriwa","65-69","male","Participation rate (%)",83.6
"New South Wales","Whitlam","65-69","male","Total participants",3771
"New South Wales","Whitlam","65-69","male","Eligible participants",4249
"New South Wales","Whitlam","65-69","male","Participation rate (%)",88.8
"Victoria","Aston","65-69","male","Total participants",2821
"Victoria","Aston","65-69","male","Eligible participants",3200
"Victoria","Aston","65-69","male","Participation rate (%)",88.2
"Victoria","Ballarat","65-69","male","Total participants",3790
"Victoria","Ballarat","65-69","male","Eligible participants",4252
"Victoria","Ballarat","65-69","male","Participation rate (%)",89.1
"Victoria","Batman","65-69","male","Total participants",2243
"Victoria","Batman","65-69","male","Eligible participants",2601
"Victoria","Batman","65-69","male","Participation rate (%)",86.2
"Victoria","Bendigo","65-69","male","Total participants",3979
"Victoria","Bendigo","65-69","male","Eligible participants",4421
"Victoria","Bendigo","65-69","male","Participation rate (%)",90
"Victoria","Bruce","65-69","male","Total participants",2725
"Victoria","Bruce","65-69","male","Eligible participants",3230
"Victoria","Bruce","65-69","male","Participation rate (%)",84.4
"Victoria","Calwell","65-69","male","Total participants",2818
"Victoria","Calwell","65-69","male","Eligible participants",3275
"Victoria","Calwell","65-69","male","Participation rate (%)",86
"Victoria","Casey","65-69","male","Total participants",3204
"Victoria","Casey","65-69","male","Eligible participants",3555
"Victoria","Casey","65-69","male","Participation rate (%)",90.1
"Victoria","Chisholm","65-69","male","Total participants",2366
"Victoria","Chisholm","65-69","male","Eligible participants",2694
"Victoria","Chisholm","65-69","male","Participation rate (%)",87.8
"Victoria","Corangamite","65-69","male","Total participants",3981
"Victoria","Corangamite","65-69","male","Eligible participants",4408
"Victoria","Corangamite","65-69","male","Participation rate (%)",90.3
"Victoria","Corio","65-69","male","Total participants",3666
"Victoria","Corio","65-69","male","Eligible participants",4057
"Victoria","Corio","65-69","male","Participation rate (%)",90.4
"Victoria","Deakin","65-69","male","Total participants",2621
"Victoria","Deakin","65-69","male","Eligible participants",2915
"Victoria","Deakin","65-69","male","Participation rate (%)",89.9
"Victoria","Dunkley","65-69","male","Total participants",3147
"Victoria","Dunkley","65-69","male","Eligible participants",3575
"Victoria","Dunkley","65-69","male","Participation rate (%)",88
"Victoria","Flinders","65-69","male","Total participants",4574
"Victoria","Flinders","65-69","male","Eligible participants",5186
"Victoria","Flinders","65-69","male","Participation rate (%)",88.2
"Victoria","Gellibrand","65-69","male","Total participants",2538
"Victoria","Gellibrand","65-69","male","Eligible participants",2943
"Victoria","Gellibrand","65-69","male","Participation rate (%)",86.2
"Victoria","Gippsland","65-69","male","Total participants",4517
"Victoria","Gippsland","65-69","male","Eligible participants",5038
"Victoria","Gippsland","65-69","male","Participation rate (%)",89.7
"Victoria","Goldstein","65-69","male","Total participants",3119
"Victoria","Goldstein","65-69","male","Eligible participants",3526
"Victoria","Goldstein","65-69","male","Participation rate (%)",88.5
"Victoria","Gorton","65-69","male","Total participants",3017
"Victoria","Gorton","65-69","male","Eligible participants",3528
"Victoria","Gorton","65-69","male","Participation rate (%)",85.5
"Victoria","Higgins","65-69","male","Total participants",2633
"Victoria","Higgins","65-69","male","Eligible participants",2963
"Victoria","Higgins","65-69","male","Participation rate (%)",88.9
"Victoria","Holt","65-69","male","Total participants",2750
"Victoria","Holt","65-69","male","Eligible participants",3224
"Victoria","Holt","65-69","male","Participation rate (%)",85.3
"Victoria","Hotham","65-69","male","Total participants",2591
"Victoria","Hotham","65-69","male","Eligible participants",3004
"Victoria","Hotham","65-69","male","Participation rate (%)",86.3
"Victoria","Indi","65-69","male","Total participants",4211
"Victoria","Indi","65-69","male","Eligible participants",4715
"Victoria","Indi","65-69","male","Participation rate (%)",89.3
"Victoria","Isaacs","65-69","male","Total participants",2835
"Victoria","Isaacs","65-69","male","Eligible participants",3277
"Victoria","Isaacs","65-69","male","Participation rate (%)",86.5
"Victoria","Jagajaga","65-69","male","Total participants",3114
"Victoria","Jagajaga","65-69","male","Eligible participants",3451
"Victoria","Jagajaga","65-69","male","Participation rate (%)",90.2
"Victoria","Kooyong","65-69","male","Total participants",2809
"Victoria","Kooyong","65-69","male","Eligible participants",3097
"Victoria","Kooyong","65-69","male","Participation rate (%)",90.7
"Victoria","Lalor","65-69","male","Total participants",2609
"Victoria","Lalor","65-69","male","Eligible participants",3018
"Victoria","Lalor","65-69","male","Participation rate (%)",86.4
"Victoria","La Trobe","65-69","male","Total participants",2872
"Victoria","La Trobe","65-69","male","Eligible participants",3248
"Victoria","La Trobe","65-69","male","Participation rate (%)",88.4
"Victoria","Mallee","65-69","male","Total participants",3711
"Victoria","Mallee","65-69","male","Eligible participants",4271
"Victoria","Mallee","65-69","male","Participation rate (%)",86.9
"Victoria","Maribyrnong","65-69","male","Total participants",2894
"Victoria","Maribyrnong","65-69","male","Eligible participants",3403
"Victoria","Maribyrnong","65-69","male","Participation rate (%)",85
"Victoria","McEwen","65-69","male","Total participants",3578
"Victoria","McEwen","65-69","male","Eligible participants",4029
"Victoria","McEwen","65-69","male","Participation rate (%)",88.8
"Victoria","McMillan","65-69","male","Total participants",4206
"Victoria","McMillan","65-69","male","Eligible participants",4694
"Victoria","McMillan","65-69","male","Participation rate (%)",89.6
"Victoria","Melbourne","65-69","male","Total participants",2149
"Victoria","Melbourne","65-69","male","Eligible participants",2493
"Victoria","Melbourne","65-69","male","Participation rate (%)",86.2
"Victoria","Melbourne Ports","65-69","male","Total participants",2671
"Victoria","Melbourne Ports","65-69","male","Eligible participants",3033
"Victoria","Melbourne Ports","65-69","male","Participation rate (%)",88.1
"Victoria","Menzies","65-69","male","Total participants",2916
"Victoria","Menzies","65-69","male","Eligible participants",3275
"Victoria","Menzies","65-69","male","Participation rate (%)",89
"Victoria","Murray","65-69","male","Total participants",4008
"Victoria","Murray","65-69","male","Eligible participants",4573
"Victoria","Murray","65-69","male","Participation rate (%)",87.6
"Victoria","Scullin","65-69","male","Total participants",3032
"Victoria","Scullin","65-69","male","Eligible participants",3473
"Victoria","Scullin","65-69","male","Participation rate (%)",87.3
"Victoria","Wannon","65-69","male","Total participants",4019
"Victoria","Wannon","65-69","male","Eligible participants",4534
"Victoria","Wannon","65-69","male","Participation rate (%)",88.6
"Victoria","Wills","65-69","male","Total participants",2112
"Victoria","Wills","65-69","male","Eligible participants",2464
"Victoria","Wills","65-69","male","Participation rate (%)",85.7
"Queensland","Blair","65-69","male","Total participants",2940
"Queensland","Blair","65-69","male","Eligible participants",3346
"Queensland","Blair","65-69","male","Participation rate (%)",87.9
"Queensland","Bonner","65-69","male","Total participants",2771
"Queensland","Bonner","65-69","male","Eligible participants",3123
"Queensland","Bonner","65-69","male","Participation rate (%)",88.7
"Queensland","Bowman","65-69","male","Total participants",3697
"Queensland","Bowman","65-69","male","Eligible participants",4119
"Queensland","Bowman","65-69","male","Participation rate (%)",89.8
"Queensland","Brisbane","65-69","male","Total participants",2258
"Queensland","Brisbane","65-69","male","Eligible participants",2581
"Queensland","Brisbane","65-69","male","Participation rate (%)",87.5
"Queensland","Capricornia","65-69","male","Total participants",3004
"Queensland","Capricornia","65-69","male","Eligible participants",3476
"Queensland","Capricornia","65-69","male","Participation rate (%)",86.4
"Queensland","Dawson","65-69","male","Total participants",3141
"Queensland","Dawson","65-69","male","Eligible participants",3676
"Queensland","Dawson","65-69","male","Participation rate (%)",85.4
"Queensland","Dickson","65-69","male","Total participants",2892
"Queensland","Dickson","65-69","male","Eligible participants",3222
"Queensland","Dickson","65-69","male","Participation rate (%)",89.8
"Queensland","Fadden","65-69","male","Total participants",3326
"Queensland","Fadden","65-69","male","Eligible participants",3864
"Queensland","Fadden","65-69","male","Participation rate (%)",86.1
"Queensland","Fairfax","65-69","male","Total participants",3981
"Queensland","Fairfax","65-69","male","Eligible participants",4436
"Queensland","Fairfax","65-69","male","Participation rate (%)",89.7
"Queensland","Fisher","65-69","male","Total participants",3721
"Queensland","Fisher","65-69","male","Eligible participants",4134
"Queensland","Fisher","65-69","male","Participation rate (%)",90
"Queensland","Flynn","65-69","male","Total participants",3213
"Queensland","Flynn","65-69","male","Eligible participants",3694
"Queensland","Flynn","65-69","male","Participation rate (%)",87
"Queensland","Forde","65-69","male","Total participants",2862
"Queensland","Forde","65-69","male","Eligible participants",3285
"Queensland","Forde","65-69","male","Participation rate (%)",87.1
"Queensland","Griffith","65-69","male","Total participants",2162
"Queensland","Griffith","65-69","male","Eligible participants",2496
"Queensland","Griffith","65-69","male","Participation rate (%)",86.6
"Queensland","Groom","65-69","male","Total participants",3112
"Queensland","Groom","65-69","male","Eligible participants",3480
"Queensland","Groom","65-69","male","Participation rate (%)",89.4
"Queensland","Herbert","65-69","male","Total participants",2722
"Queensland","Herbert","65-69","male","Eligible participants",3193
"Queensland","Herbert","65-69","male","Participation rate (%)",85.2
"Queensland","Hinkler","65-69","male","Total participants",4516
"Queensland","Hinkler","65-69","male","Eligible participants",5099
"Queensland","Hinkler","65-69","male","Participation rate (%)",88.6
"Queensland","Kennedy","65-69","male","Total participants",3597
"Queensland","Kennedy","65-69","male","Eligible participants",4326
"Queensland","Kennedy","65-69","male","Participation rate (%)",83.1
"Queensland","Leichhardt","65-69","male","Total participants",3162
"Queensland","Leichhardt","65-69","male","Eligible participants",3904
"Queensland","Leichhardt","65-69","male","Participation rate (%)",81
"Queensland","Lilley","65-69","male","Total participants",2694
"Queensland","Lilley","65-69","male","Eligible participants",3049
"Queensland","Lilley","65-69","male","Participation rate (%)",88.4
"Queensland","Longman","65-69","male","Total participants",3883
"Queensland","Longman","65-69","male","Eligible participants",4398
"Queensland","Longman","65-69","male","Participation rate (%)",88.3
"Queensland","Maranoa","65-69","male","Total participants",4071
"Queensland","Maranoa","65-69","male","Eligible participants",4680
"Queensland","Maranoa","65-69","male","Participation rate (%)",87
"Queensland","McPherson","65-69","male","Total participants",3295
"Queensland","McPherson","65-69","male","Eligible participants",3764
"Queensland","McPherson","65-69","male","Participation rate (%)",87.5
"Queensland","Moncrieff","65-69","male","Total participants",3300
"Queensland","Moncrieff","65-69","male","Eligible participants",3874
"Queensland","Moncrieff","65-69","male","Participation rate (%)",85.2
"Queensland","Moreton","65-69","male","Total participants",2494
"Queensland","Moreton","65-69","male","Eligible participants",2884
"Queensland","Moreton","65-69","male","Participation rate (%)",86.5
"Queensland","Oxley","65-69","male","Total participants",2327
"Queensland","Oxley","65-69","male","Eligible participants",2677
"Queensland","Oxley","65-69","male","Participation rate (%)",86.9
"Queensland","Petrie","65-69","male","Total participants",3294
"Queensland","Petrie","65-69","male","Eligible participants",3710
"Queensland","Petrie","65-69","male","Participation rate (%)",88.8
"Queensland","Rankin","65-69","male","Total participants",2796
"Queensland","Rankin","65-69","male","Eligible participants",3240
"Queensland","Rankin","65-69","male","Participation rate (%)",86.3
"Queensland","Ryan","65-69","male","Total participants",2871
"Queensland","Ryan","65-69","male","Eligible participants",3158
"Queensland","Ryan","65-69","male","Participation rate (%)",90.9
"Queensland","Wide Bay","65-69","male","Total participants",4847
"Queensland","Wide Bay","65-69","male","Eligible participants",5510
"Queensland","Wide Bay","65-69","male","Participation rate (%)",88
"Queensland","Wright","65-69","male","Total participants",3545
"Queensland","Wright","65-69","male","Eligible participants",4030
"Queensland","Wright","65-69","male","Participation rate (%)",88
"South Australia","Adelaide","65-69","male","Total participants",3181
"South Australia","Adelaide","65-69","male","Eligible participants",3594
"South Australia","Adelaide","65-69","male","Participation rate (%)",88.5
"South Australia","Barker","65-69","male","Total participants",4233
"South Australia","Barker","65-69","male","Eligible participants",4827
"South Australia","Barker","65-69","male","Participation rate (%)",87.7
"South Australia","Boothby","65-69","male","Total participants",3639
"South Australia","Boothby","65-69","male","Eligible participants",4018
"South Australia","Boothby","65-69","male","Participation rate (%)",90.6
"South Australia","Grey","65-69","male","Total participants",4009
"South Australia","Grey","65-69","male","Eligible participants",4565
"South Australia","Grey","65-69","male","Participation rate (%)",87.8
"South Australia","Hindmarsh","65-69","male","Total participants",3351
"South Australia","Hindmarsh","65-69","male","Eligible participants",3786
"South Australia","Hindmarsh","65-69","male","Participation rate (%)",88.5
"South Australia","Kingston","65-69","male","Total participants",3526
"South Australia","Kingston","65-69","male","Eligible participants",3931
"South Australia","Kingston","65-69","male","Participation rate (%)",89.7
"South Australia","Makin","65-69","male","Total participants",3307
"South Australia","Makin","65-69","male","Eligible participants",3699
"South Australia","Makin","65-69","male","Participation rate (%)",89.4
"South Australia","Mayo","65-69","male","Total participants",4567
"South Australia","Mayo","65-69","male","Eligible participants",5051
"South Australia","Mayo","65-69","male","Participation rate (%)",90.4
"South Australia","Port Adelaide","65-69","male","Total participants",3019
"South Australia","Port Adelaide","65-69","male","Eligible participants",3551
"South Australia","Port Adelaide","65-69","male","Participation rate (%)",85
"South Australia","Sturt","65-69","male","Total participants",2957
"South Australia","Sturt","65-69","male","Eligible participants",3297
"South Australia","Sturt","65-69","male","Participation rate (%)",89.7
"South Australia","Wakefield","65-69","male","Total participants",3148
"South Australia","Wakefield","65-69","male","Eligible participants",3615
"South Australia","Wakefield","65-69","male","Participation rate (%)",87.1
"Western Australia","Brand","65-69","male","Total participants",2394
"Western Australia","Brand","65-69","male","Eligible participants",2766
"Western Australia","Brand","65-69","male","Participation rate (%)",86.6
"Western Australia","Burt","65-69","male","Total participants",2645
"Western Australia","Burt","65-69","male","Eligible participants",3061
"Western Australia","Burt","65-69","male","Participation rate (%)",86.4
"Western Australia","Canning","65-69","male","Total participants",3734
"Western Australia","Canning","65-69","male","Eligible participants",4280
"Western Australia","Canning","65-69","male","Participation rate (%)",87.2
"Western Australia","Cowan","65-69","male","Total participants",2519
"Western Australia","Cowan","65-69","male","Eligible participants",2930
"Western Australia","Cowan","65-69","male","Participation rate (%)",86
"Western Australia","Curtin","65-69","male","Total participants",2925
"Western Australia","Curtin","65-69","male","Eligible participants",3300
"Western Australia","Curtin","65-69","male","Participation rate (%)",88.6
"Western Australia","Durack","65-69","male","Total participants",2670
"Western Australia","Durack","65-69","male","Eligible participants",3280
"Western Australia","Durack","65-69","male","Participation rate (%)",81.4
"Western Australia","Forrest","65-69","male","Total participants",3669
"Western Australia","Forrest","65-69","male","Eligible participants",4156
"Western Australia","Forrest","65-69","male","Participation rate (%)",88.3
"Western Australia","Fremantle","65-69","male","Total participants",2669
"Western Australia","Fremantle","65-69","male","Eligible participants",3093
"Western Australia","Fremantle","65-69","male","Participation rate (%)",86.3
"Western Australia","Hasluck","65-69","male","Total participants",3055
"Western Australia","Hasluck","65-69","male","Eligible participants",3511
"Western Australia","Hasluck","65-69","male","Participation rate (%)",87
"Western Australia","Moore","65-69","male","Total participants",3404
"Western Australia","Moore","65-69","male","Eligible participants",3782
"Western Australia","Moore","65-69","male","Participation rate (%)",90
"Western Australia","O'Connor","65-69","male","Total participants",3812
"Western Australia","O'Connor","65-69","male","Eligible participants",4391
"Western Australia","O'Connor","65-69","male","Participation rate (%)",86.8
"Western Australia","Pearce","65-69","male","Total participants",2774
"Western Australia","Pearce","65-69","male","Eligible participants",3203
"Western Australia","Pearce","65-69","male","Participation rate (%)",86.6
"Western Australia","Perth","65-69","male","Total participants",2696
"Western Australia","Perth","65-69","male","Eligible participants",3140
"Western Australia","Perth","65-69","male","Participation rate (%)",85.9
"Western Australia","Stirling","65-69","male","Total participants",2582
"Western Australia","Stirling","65-69","male","Eligible participants",3031
"Western Australia","Stirling","65-69","male","Participation rate (%)",85.2
"Western Australia","Swan","65-69","male","Total participants",2602
"Western Australia","Swan","65-69","male","Eligible participants",2993
"Western Australia","Swan","65-69","male","Participation rate (%)",86.9
"Western Australia","Tangney","65-69","male","Total participants",3208
"Western Australia","Tangney","65-69","male","Eligible participants",3587
"Western Australia","Tangney","65-69","male","Participation rate (%)",89.4
"Tasmania","Bass","65-69","male","Total participants",2432
"Tasmania","Bass","65-69","male","Eligible participants",2765
"Tasmania","Bass","65-69","male","Participation rate (%)",88
"Tasmania","Braddon","65-69","male","Total participants",2680
"Tasmania","Braddon","65-69","male","Eligible participants",3029
"Tasmania","Braddon","65-69","male","Participation rate (%)",88.5
"Tasmania","Denison","65-69","male","Total participants",2274
"Tasmania","Denison","65-69","male","Eligible participants",2579
"Tasmania","Denison","65-69","male","Participation rate (%)",88.2
"Tasmania","Franklin","65-69","male","Total participants",2867
"Tasmania","Franklin","65-69","male","Eligible participants",3229
"Tasmania","Franklin","65-69","male","Participation rate (%)",88.8
"Tasmania","Lyons","65-69","male","Total participants",3490
"Tasmania","Lyons","65-69","male","Eligible participants",4003
"Tasmania","Lyons","65-69","male","Participation rate (%)",87.2
"Northern Territory","Lingiari","65-69","male","Total participants",1137
"Northern Territory","Lingiari","65-69","male","Eligible participants",1715
"Northern Territory","Lingiari","65-69","male","Participation rate (%)",66.3
"Northern Territory","Solomon","65-69","male","Total participants",1465
"Northern Territory","Solomon","65-69","male","Eligible participants",1900
"Northern Territory","Solomon","65-69","male","Participation rate (%)",77.1
"Australian Capital Territory","Canberra","65-69","male","Total participants",4104
"Australian Capital Territory","Canberra","65-69","male","Eligible participants",4581
"Australian Capital Territory","Canberra","65-69","male","Participation rate (%)",89.6
"Australian Capital Territory","Fenner","65-69","male","Total participants",3164
"Australian Capital Territory","Fenner","65-69","male","Eligible participants",3544
"Australian Capital Territory","Fenner","65-69","male","Participation rate (%)",89.3
"New South Wales","Banks","70-74","male","Total participants",2366
"New South Wales","Banks","70-74","male","Eligible participants",2631
"New South Wales","Banks","70-74","male","Participation rate (%)",89.9
"New South Wales","Barton","70-74","male","Total participants",2293
"New South Wales","Barton","70-74","male","Eligible participants",2685
"New South Wales","Barton","70-74","male","Participation rate (%)",85.4
"New South Wales","Bennelong","70-74","male","Total participants",2124
"New South Wales","Bennelong","70-74","male","Eligible participants",2351
"New South Wales","Bennelong","70-74","male","Participation rate (%)",90.3
"New South Wales","Berowra","70-74","male","Total participants",2799
"New South Wales","Berowra","70-74","male","Eligible participants",3033
"New South Wales","Berowra","70-74","male","Participation rate (%)",92.3
"New South Wales","Blaxland","70-74","male","Total participants",2182
"New South Wales","Blaxland","70-74","male","Eligible participants",2585
"New South Wales","Blaxland","70-74","male","Participation rate (%)",84.4
"New South Wales","Bradfield","70-74","male","Total participants",2636
"New South Wales","Bradfield","70-74","male","Eligible participants",2892
"New South Wales","Bradfield","70-74","male","Participation rate (%)",91.1
"New South Wales","Calare","70-74","male","Total participants",3380
"New South Wales","Calare","70-74","male","Eligible participants",3792
"New South Wales","Calare","70-74","male","Participation rate (%)",89.1
"New South Wales","Chifley","70-74","male","Total participants",1963
"New South Wales","Chifley","70-74","male","Eligible participants",2257
"New South Wales","Chifley","70-74","male","Participation rate (%)",87
"New South Wales","Cook","70-74","male","Total participants",2712
"New South Wales","Cook","70-74","male","Eligible participants",2985
"New South Wales","Cook","70-74","male","Participation rate (%)",90.9
"New South Wales","Cowper","70-74","male","Total participants",4290
"New South Wales","Cowper","70-74","male","Eligible participants",4732
"New South Wales","Cowper","70-74","male","Participation rate (%)",90.7
"New South Wales","Cunningham","70-74","male","Total participants",2685
"New South Wales","Cunningham","70-74","male","Eligible participants",2972
"New South Wales","Cunningham","70-74","male","Participation rate (%)",90.3
